global_idx,event,true_label,pred_label,error_type,confidence,source_text,reply_texts,cascade_size,depth,branching,growth_30m,burstiness
5362,sydneysiege,non-rumour,rumour,FP,1.0,"SYDNEY ATTACK
- Hostages at Sydney cafe
- 13 hostages
- 2 gunmen
- Hostages seen holding Arabic flag

Stay with @PzFeed for the latest.","['Their leader Adnan Hoca and he uses the his cats to blow up bombs please careful sons of Jesus @babetsihayvan @pzfeed', 'They are from Turkey and they want speak Ottoman language in Turkey.. @PzFeed', '@Normaldegildir Türkiyenin en güvenilir takipçi satın alma sitesi .www.takipcisatinal.com']",17,4,9,17,0.0402
5534,sydneysiege,non-rumour,rumour,FP,1.0,"#SydneySiege
- 5 people injured
- Reports of at least 2 dead
- Bomb disposal unit inside cafe
- Police confirm siege is over.","['@AusNewsNetwork @KennyTomlinson', 'RT @AusNewsNetwork: #SydneySiege\n5 people injured\nReports of at least 2 dead\n- Bomb disposal unit inside cafe\n- Police confirm siege is over', '@AusNewsNetwork heinous Islamic Terrorists Crimes against modern society .. Killer was a cleric even worse. !! RIP to the dead hostage !']",8,1,7,8,0.2486
3526,germanwings-crash,non-rumour,rumour,FP,1.0,"A co-pilot deliberately crashed the Germanwings plane killing 150 people yet ""there was no indication that it is an act of terrorism""? Pftt!","['@angelpakaigucci  they dont want to scare anyone by saying that word ""Terrorism""', '@angelpakaigucci paling teruk pon depa akan cakap co-pilot tu ada masalah mental. Never a terrorist']",3,1,2,1,-0.5614
2070,charliehebdo,non-rumour,rumour,FP,1.0,Several hostages freed at Jewish supermarket in Paris including a child (R). Photo Thomas Samson #AFP http://t.co/b6ikL2BYyy,"['“@AFPphoto: Several hostages freed at Jewish supermarket in Paris including a child (R). Photo Thomas Samson #AFP http://t.co/Mb8AuYVXol”', 'RT @AFPphoto Several hostages freed at Jewish supermarket in Paris including a child (R). Photo Thomas Samson #AFP http://t.co/01gLs2PXn1', '“@AFPphoto: Several hostages freed at Jewish supermarket in Paris including a child (R). Photo Thomas Samson #AFP http://t.co/TE72VXiP0u”']",20,4,16,20,-0.079
4308,ottawashooting,non-rumour,rumour,FP,1.0,Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews,"[""@tobiebh C'est encore une fois de vouloir le scoop. C'est probablement une question de rentabilité, je ne gère pas NRJ ni TVA. Je doute 1/2"", ""@RenkoQC firmé. Si les gens ne font pas la distinction dans leurs temps de verbe, je vois pas ce qu'on peut faire."", ""@RenkoQC @en_passant_la @StephBerthomet Si on en parle et qu'il ne se passe rien, tout à coup on est les experts du non-fondé, si on n'en""]",51,19,5,24,0.3611
3143,ferguson,non-rumour,rumour,FP,1.0,"5) if #Ferguson PD were already put on notice about a Quick-Mart robbery, why was that NEVER part of the narrative till now?","['@DreadlockDipset they said something about robbery in the beginning and the employees at that QuickTrip said they never called the police', ""@DreadlockDipset They never called in shooting, just for crowd control, put Mike's body in police SUV. No ambulance called #lies #ferguson""]",3,1,2,3,-0.2377
3479,germanwings-crash,non-rumour,rumour,FP,1.0,France's Interior Ministry says debris located in crash of Germanwings Flight #4U925 in South France - @AP http://t.co/by471NAzFg,"['@BreakingNews Oh my God!!! May their souls rest in peace, Lord have mercy', '@BreakingNews @AP Flight number: #4U9525 #correction', '@BreakingNews @AP ok at least debris found..and not  another mh370 kinda  mystery..bless all souls on board  flight #4u925']",4,1,3,2,0.0323
1819,charliehebdo,non-rumour,rumour,FP,1.0,"Reports: Armed man takes multiple hostages in Paris kosher grocery store, SWAT teams on scene http://t.co/dU9efPMFeV","[""@HuffingtonPost SWAT need To Try Giving Them A Ransom of money  maybe that's what they want but in a way they still can catch the men"", ""You've GOT 2b kidding! “@HuffingtonPost: Armed man takes hostages in Paris kosher grocery store, SWAT teams on scene http://t.co/ROJF6g8POl”"", ""@MJMIkeyJoJo @HuffingtonPost this is not about money it's a direct attack on the Jews.""]",6,2,4,5,0.1967
214,charliehebdo,rumour,non-rumour,FN,1.0,This illustration by @LucilleClerc says it all. #JeSuisCharlie http://t.co/UctYcW96A4,"['@erichbergen superbbbb thought and act of courage .. Salutes!! Pen is mightier than sword', '“@erichbergen: This illustration by @LucilleClerc says it all. #JeSuisCharlie YES - so perfectly http://t.co/OZnZwq2qqO”', '@erichbergen']",6,1,5,2,-0.3976
3269,germanwings-crash,rumour,non-rumour,FN,1.0,Hashtags #4U9525 #GermanWings #A320 all useful for latest info on plane crash in southern France.,['@BBCRosAtkins \n#GermanWings\n#4U9525 http://t.co/hUljNqm34s'],2,1,1,1,0.0
