depth,branching,size,growth_30m,burstiness,label,event,root_id
5,5,10,3,0.0258,1,charliehebdo,552783238415265792
3,5,8,6,0.3913,1,charliehebdo,552783667052167168
1,5,6,4,0.0579,1,charliehebdo,552783745565347840
10,3,14,9,0.2704,1,charliehebdo,552784168849907712
5,10,17,15,0.3533,1,charliehebdo,552784526955806720
3,20,27,20,0.2863,1,charliehebdo,552784882687299584
2,8,11,2,0.2349,1,charliehebdo,552785367972450304
1,3,4,4,0.0187,1,charliehebdo,552785375161499649
1,10,11,5,0.0953,1,charliehebdo,552785443813457921
1,2,3,3,-0.733,1,charliehebdo,552785551930454016
2,3,5,4,0.2053,1,charliehebdo,552785695845396480
4,8,15,3,0.1573,1,charliehebdo,552786016906383360
2,17,21,16,0.6221,1,charliehebdo,552786099899494400
2,10,13,11,0.3895,1,charliehebdo,552786361758265344
2,12,14,12,0.4453,1,charliehebdo,552786818853113857
1,1,2,2,0.0,1,charliehebdo,552787231468191744
4,4,9,2,0.3102,1,charliehebdo,552787544837197824
1,1,2,2,0.0,1,charliehebdo,552787878351474688
1,2,3,3,-0.3927,1,charliehebdo,552788396733906944
12,10,61,35,0.4352,1,charliehebdo,552788886355996672
9,9,28,20,0.5839,1,charliehebdo,552788945017516032
1,3,4,3,-0.1222,1,charliehebdo,552788947219533824
1,6,7,7,-0.2004,1,charliehebdo,552789127792717826
5,11,33,17,0.3736,1,charliehebdo,552789521646247936
1,8,9,9,-0.195,1,charliehebdo,552790074166108160
0,0,1,1,0.0,1,charliehebdo,552790082533752832
1,13,14,10,0.3552,1,charliehebdo,552790371848040449
4,14,20,19,0.6017,1,charliehebdo,552790742700417024
7,14,25,14,0.0563,1,charliehebdo,552790824971677696
2,18,20,19,0.0883,1,charliehebdo,552790838015979520
1,5,6,4,0.0462,1,charliehebdo,552790875492073472
1,5,6,5,-0.0966,1,charliehebdo,552790878805168129
3,6,9,9,0.1141,1,charliehebdo,552791034447794176
2,7,9,9,0.0086,1,charliehebdo,552791065645027328
2,5,8,7,0.4017,1,charliehebdo,552791115599192064
2,13,17,10,0.3727,1,charliehebdo,552791182670327808
3,17,23,21,0.5534,1,charliehebdo,552791196247269378
2,17,21,14,0.2314,1,charliehebdo,552791578893619200
2,4,7,5,-0.3525,1,charliehebdo,552792193992519680
18,10,134,29,0.6891,1,charliehebdo,552792271243210754
6,4,18,6,0.189,1,charliehebdo,552792544132997121
2,6,9,7,0.2563,1,charliehebdo,552792802309181440
2,4,6,5,0.2683,1,charliehebdo,552792913910833152
1,17,18,12,0.4265,1,charliehebdo,552792988376915969
1,5,6,4,-0.0007,1,charliehebdo,552793539856588801
4,16,27,21,0.4725,1,charliehebdo,552793551231541249
19,12,173,68,0.7175,1,charliehebdo,552793552376569857
2,7,16,14,-0.104,1,charliehebdo,552793679082311680
12,4,25,13,0.5577,1,charliehebdo,552794157484634112
1,7,8,4,0.2217,1,charliehebdo,552794942759010304
1,5,6,5,-0.1481,1,charliehebdo,552795050502270976
2,2,4,4,-0.2105,1,charliehebdo,552795566242279424
1,4,5,2,-0.3262,1,charliehebdo,552795585095671808
1,8,9,8,0.1567,1,charliehebdo,552795693682032640
19,11,106,52,0.7299,1,charliehebdo,552795773180858368
2,14,16,5,0.1633,1,charliehebdo,552796091255894016
1,5,6,5,0.2996,1,charliehebdo,552796863297236992
2,15,20,15,0.3118,1,charliehebdo,552797406094716929
8,5,15,13,0.2654,1,charliehebdo,552797638807281664
3,14,25,23,0.5174,1,charliehebdo,552798654495354880
1,6,7,6,0.2119,1,charliehebdo,552798891994009601
6,9,22,9,0.2778,1,charliehebdo,552799062421164032
2,10,12,5,0.4484,1,charliehebdo,552799317602615297
3,8,11,10,0.346,1,charliehebdo,552799591255384065
3,10,13,7,0.4097,1,charliehebdo,552799640488517632
3,12,18,11,0.5645,1,charliehebdo,552800045096259584
1,11,12,6,0.3198,1,charliehebdo,552801438821515264
12,4,33,8,0.5274,1,charliehebdo,552801829290270720
4,4,9,6,-0.0185,1,charliehebdo,552801880812691456
1,2,3,3,-0.0381,1,charliehebdo,552801954733490176
2,10,12,12,0.1419,1,charliehebdo,552801958428700672
2,11,14,8,0.2651,1,charliehebdo,552802128688078848
8,15,30,30,-0.0487,1,charliehebdo,552802606696136705
2,6,8,7,0.347,1,charliehebdo,552802654641225728
2,15,17,10,0.5548,1,charliehebdo,552803839490150400
1,8,9,6,0.3475,1,charliehebdo,552804394727927808
1,3,4,1,-0.3309,1,charliehebdo,552804408233193473
0,0,1,1,0.0,1,charliehebdo,552804668951511041
1,4,5,5,-0.3023,1,charliehebdo,552804763461775360
1,9,10,8,0.3134,1,charliehebdo,552804839886184448
1,17,18,8,0.429,1,charliehebdo,552805267990413312
18,24,117,32,0.7429,1,charliehebdo,552805488631758849
2,12,14,8,0.2916,1,charliehebdo,552805596198871040
2,7,10,3,0.1687,1,charliehebdo,552805619301097472
1,1,2,2,0.0,1,charliehebdo,552805735885991936
1,3,4,4,0.0787,1,charliehebdo,552806117328568321
7,13,40,29,0.7034,1,charliehebdo,552806309540528128
2,11,13,9,0.4519,1,charliehebdo,552806757672964097
3,16,21,11,0.4623,1,charliehebdo,552806937470201856
2,19,24,13,0.3271,1,charliehebdo,552807027781947393
1,1,2,2,0.0,1,charliehebdo,552807210041212928
5,13,18,10,0.31,1,charliehebdo,552807528070131712
3,14,20,14,0.2299,1,charliehebdo,552807834434699264
19,17,110,17,0.5211,1,charliehebdo,552808071387701248
6,8,18,5,0.2797,1,charliehebdo,552808282398924800
1,4,5,5,0.1326,1,charliehebdo,552808620187217920
1,3,4,3,0.0628,1,charliehebdo,552808904137408512
6,18,28,16,0.4722,1,charliehebdo,552809418417790976
2,3,5,3,-0.006,1,charliehebdo,552810138114195456
2,19,21,20,0.2637,1,charliehebdo,552810448324943872
3,17,21,16,0.1556,1,charliehebdo,552810804186460161
1,18,19,16,0.3892,1,charliehebdo,552811386259386370
5,12,19,4,0.5317,1,charliehebdo,552812682626465792
10,10,39,14,0.0183,1,charliehebdo,552813461953323008
2,5,8,6,-0.2098,1,charliehebdo,552813494345940992
1,6,7,5,0.2572,1,charliehebdo,552813549291315200
1,10,11,10,0.0311,1,charliehebdo,552814494381256704
1,7,8,4,0.1995,1,charliehebdo,552814767417876480
1,4,5,3,-0.1681,1,charliehebdo,552815182708494336
1,4,5,4,0.2339,1,charliehebdo,552815274848964608
2,5,7,4,-0.0869,1,charliehebdo,552815540721291265
1,5,6,4,-0.1055,1,charliehebdo,552816020403269632
4,14,23,11,0.1696,1,charliehebdo,552816302780579840
2,2,4,4,-0.3678,1,charliehebdo,552816600995614721
1,6,7,5,0.0996,1,charliehebdo,552816932643405824
1,2,3,2,-0.624,1,charliehebdo,552817101057318913
3,15,21,9,0.2317,1,charliehebdo,552817345887207425
2,18,23,11,0.192,1,charliehebdo,552817965813739520
2,4,6,5,-0.0715,1,charliehebdo,552818821460148226
6,14,32,25,0.5454,1,charliehebdo,552820736490889216
3,15,22,10,0.3453,1,charliehebdo,552821069036670976
8,12,41,35,0.2966,1,charliehebdo,552821287933202435
1,10,11,8,0.2305,1,charliehebdo,552821475066281984
2,11,13,10,0.4486,1,charliehebdo,552822434639126528
1,2,3,3,-0.7032,1,charliehebdo,552822696195932161
1,2,3,3,-0.1375,1,charliehebdo,552822696200142850
2,9,11,9,0.3806,1,charliehebdo,552825753264717824
2,8,13,8,0.1907,1,charliehebdo,552828474814398464
1,5,6,6,-0.0406,1,charliehebdo,552828658747187201
2,13,16,11,0.4492,1,charliehebdo,552829386773516290
4,9,13,6,0.4812,1,charliehebdo,552829580579323904
3,5,14,5,0.4357,1,charliehebdo,552830684021424128
2,9,11,8,0.4224,1,charliehebdo,552830864187727876
3,18,21,20,-0.013,1,charliehebdo,552831881847533568
2,9,13,8,0.0027,1,charliehebdo,552832817089236992
2,17,19,14,0.4048,1,charliehebdo,552833028201144320
1,4,5,1,-0.2133,1,charliehebdo,552834445301256192
3,16,22,21,0.0273,1,charliehebdo,552834461478715392
4,12,18,12,0.2616,1,charliehebdo,552834961762709505
3,19,32,1,0.6688,1,charliehebdo,552837132491186179
